userid,user_profile_description,follower_count,following_count,account_creation_date,account_language,ratio_follower_to_following,descr_len,days_since_creation,avg_tweet_len,avg_hashtag_num,avg_hashtag_char_num,avg_mentions_num,avg_urls_num,tweet_url_ratio,retweet_rate,retweet_url_rate,tweet_std,avg_tweets_per_day
700011116,Simplemente Yo Revolucionaria y ahora más que nunca Chavista. En contra de los burgueses que odian a l@s niñ@s pobres. #AJuicioGuaido,2016, 2070,16/07/2012,en, 0.97391,134,2360, 133.635,0.53,9.16981, 1.305,0.125,0.12, 0.905,0.055,8.34921,11.76471
700033196,3人の、ママです（~▽~＠）♪♪♪お気楽な、専業主婦☆常に楽しくなるように、子育て、家事頑張っちゃてる♪,1, 2,17/07/2012,en, 0.5,52,2359, 126.72,0.0,0, 1.0,0.0,0.0, 0.0,0.0,2.36836,3.77358
700080025,,1, 17,17/07/2012,en, 0.05882,0,2359, 25.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
700082493,Lekker Tweeten ! Randon Shit ! Follow,8, 19,27/09/2013,en, 0.42105,37,1922, 53.06667,0.0,0, 0.0,0.06667,0.06667, 0.0,0.0,4.96655,5.0
700089332,وإليك ياالله مَرجعي..فأهدني ثم اعف عني وأحسن خاتمتي,240, 562,17/07/2012,en, 0.42705,51,2359, 120.71212,0.0101,12.0, 1.0101,0.00505,0.00505, 0.99495,0.00505,2.13293,2.475
700099069,,66, 250,17/07/2012,en, 0.264,0,2359, 95.2378,0.19512,12.84375, 1.5,0.2378,0.2378, 0.55488,0.04878,1.20215,1.46429
700099765,,9, 7,17/07/2012,en, 1.28571,0,2359, 39.485,0.0,0, 0.0,1.045,0.995, 0.0,0.0,1.79198,3.0303
700101905,,91, 103,28/09/2013,en, 0.8835,0,1921, 71.64286,0.04762,10.0, 0.69048,0.04762,0.04762, 0.30952,0.02381,1.1967,1.55556
700113728,,0, 0,17/07/2012,en, 0,0,2359, 13.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
874319302639329281,Nursing Major 🤱| SFASU 22’| Giving all praises to God ☝🏽|,510, 477,12/06/2017,en, 1.06918,57,568, 85.7027,0.04324,10.75, 0.8,0.31892,0.31892, 0.68108,0.15676,1.28548,2.05556
700149154,,0, 9,29/09/2013,en, 0.0,0,1920, 129.0,3.0,7.33333, 1.0,0.0,0.0, 0.0,0.0,0.0,1.0
700156778,soy una chica divertida media loca pero me gusta hacer amigos no me gusta la gente hipocrita,3, 54,17/07/2012,en, 0.05556,92,2359, 32.14286,0.0,0, 0.57143,0.14286,0.14286, 0.0,0.0,0.4899,1.4
700157444,Retour en Europe après 4 années de vie en Chine ...,4, 21,17/07/2012,en, 0.19048,51,2359, 135.0,0.0,0, 0.5,0.0,0.0, 0.0,0.0,0.0,1.0
700161432,M.oney-O.ver-P.lesure #Team$motivated$ #TeamThugItOut #EA$T #RealPeriod,59, 0,17/07/2012,en, 0,71,2359, 63.01,0.065,10.84615, 0.565,0.01,0.01, 0.15,0.0,7.07425,5.88235
700169137,,260, 201,17/07/2012,en, 1.29353,0,2359, 90.7449,0.58673,9.88696, 0.63776,0.14286,0.14286, 0.22959,0.02551,0.33952,1.13295
700177470,{she had the soul of a gypsy the heart of a hippie & the spirit of a fairy} follow me on Instagram @sheradenautumn,359, 345,17/07/2012,en, 1.04058,116,2359, 73.74372,0.59799,9.67227, 0.55276,0.09548,0.09548, 0.04523,0.00503,3.49963,2.88406
700196762,,3, 21,17/07/2012,en, 0.14286,0,2359, 21.0,0.33333,17.0, 0.0,0.33333,0.33333, 0.0,0.0,0.0,1.0
700231784,Don't believe everything everything you hear... oh wait ;),10, 63,17/07/2012,en, 0.15873,58,2359, 71.83333,0.0,0, 0.66667,0.0,0.0, 0.06667,0.0,6.68331,10.0
700237675,,126, 77,17/07/2012,en, 1.63636,0,2359, 96.89,0.175,11.97143, 0.055,0.99,0.99, 0.015,0.005,1.09614,1.73913
700239568,@1D_Justin_00 @_Gui___Ramos_,79, 1274,02/10/2013,en, 0.06201,28,1917, 48.04523,0.13568,10.7037, 0.38191,0.07035,0.05025, 0.0,0.0,23.23702,28.42857
700241874,,2, 38,17/07/2012,en, 0.05263,0,2359, 103.0,0.0,0, 1.0,0.55556,0.55556, 0.33333,0.0,0.45175,1.28571
700242144,,19, 47,17/07/2012,en, 0.40426,0,2359, 65.6,0.0,0, 0.6,0.0,0.0, 0.8,0.0,1.5,2.5
700242596,,0, 8,17/07/2012,en, 0.0,0,2359, 95.0,0.0,0, 2.0,1.0,1.0, 1.0,1.0,0.0,1.0
700245414,Febrão em games? Então siga-me os viciados!,16, 105,17/07/2012,en, 0.15238,43,2359, 115.5,0.0,0, 0.75,0.0,0.0, 0.0,0.0,1.0,2.0
700248667,,5, 0,17/07/2012,en, 0,0,2359, 39.45,0.0,0, 0.05,0.0,0.0, 0.05,0.0,1.40248,1.81818
700272812,,1, 0,17/07/2012,en, 0,0,2359, 79.0,0.0,0, 0.0,1.0,1.0, 0.0,0.0,0.0,2.0
700288183,,2, 5,17/07/2012,en, 0.4,0,2359, 46.6,0.8,4.25, 0.4,0.0,0.0, 0.0,0.0,0.0,1.0
700289328,,1, 4,17/07/2012,en, 0.25,0,2359, 8.5,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
700312422,,63, 74,17/07/2012,en, 0.85135,0,2359, 33.3945,0.0,0, 0.77982,0.00917,0.00917, 0.01835,0.0,2.0922,2.42222
700317140,experto en joder a las jules sueltas,0, 9,17/07/2012,en, 0.0,36,2359, 63.86667,0.13333,11.25, 0.96667,0.0,0.0, 0.0,0.0,5.67891,7.5
700346586,,51, 198,17/07/2012,en, 0.25758,0,2359, 53.25,0.25,8.83333, 0.79167,0.20833,0.20833, 0.04167,0.04167,0.59988,1.41176
700373127,,2, 0,03/10/2013,en, 0,0,1916, 12.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
700410295,,0, 28,17/07/2012,en, 0.0,0,2359, 30.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,2.0
700421880,Semangat berusaha dan selalu berdoa pada Yesus Tuhan Memberkati ♥ Berkah Dalem,288, 107,17/07/2012,en, 2.69159,80,2359, 68.05,0.265,8.45283, 0.295,0.015,0.015, 0.125,0.0,2.95916,3.0303
700431080,On the internet tweeting & blogging about my idol & admiring her pefection on victorious. thankful for having a great role model like her. I love Ariana!,0, 3,17/07/2012,en, 0.0,154,2359, 33.5,0.0,0, 0.5,0.0,0.0, 0.5,0.0,0.0,2.0
700470053,,0, 5,03/10/2013,en, 0.0,0,1916, 63.0,0.0,0, 1.0,0.0,0.0, 0.0,0.0,0.0,1.0
700480776,,67, 284,17/07/2012,en, 0.23592,0,2359, 91.14286,0.04082,11.75, 1.07653,0.15816,0.15816, 0.62755,0.03061,2.69942,2.54545
700485421,,10, 11,17/07/2012,en, 0.90909,0,2359, 52.185,0.245,7.83673, 0.04,0.695,0.695, 0.025,0.0,0.49233,1.1976
700509641,,0, 0,03/10/2013,en, 0,0,1916, 41.5,0.0,0, 0.0,0.5,0.5, 0.0,0.0,0.0,1.0
700525582,,3, 2,03/10/2013,en, 1.5,0,1916, 54.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
700545151,Probably tired,133, 133,17/07/2012,en, 1.0,14,2359, 53.64,0.04,15.875, 0.325,0.04,0.04, 0.09,0.005,1.77855,1.85185
700549369,Good thing I'm bred to be a champion.,18, 64,17/07/2012,en, 0.28125,37,2359, 75.89474,0.03509,9.5, 0.68421,0.01754,0.01754, 0.31579,0.01754,0.7864,1.5
700550676,Ayipsiz fakat ellerimizi kirletmeden,2, 0,17/07/2012,en, 0,36,2359, 109.46809,0.24113,22.17647, 0.73759,0.07801,0.07801, 1.0,0.07801,2.95782,5.03571
700568671,,17, 102,17/07/2012,en, 0.16667,0,2359, 48.44444,0.05556,7.0, 0.94444,0.0,0.0, 0.16667,0.0,2.94746,2.25
700583741,,0, 18,03/10/2013,en, 0.0,0,1916, 51.3,0.1,12.0, 0.5,0.2,0.2, 0.1,0.1,0.63246,2.0
700592629,,6, 63,17/07/2012,en, 0.09524,0,2359, 82.95652,0.30435,10.14286, 0.78261,0.17391,0.17391, 0.3913,0.0,0.40768,1.21053
700610550,Forever single but never alone & tweeting about the side effects. Unfortunately.,12, 23,17/07/2012,en, 0.52174,81,2359, 98.93182,1.15909,12.11765, 0.31818,0.0,0.0, 0.11364,0.0,8.61162,8.8
700648676,optimist ol nikbin ol,0, 0,17/07/2012,en, 0,21,2359, 34.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
700683661,life is choice,138, 179,17/07/2012,en, 0.77095,14,2359, 25.455,0.015,12.0, 0.115,0.005,0.005, 0.0,0.0,7.06792,6.66667
700689997,,0, 2,17/07/2012,en, 0.0,0,2359, 59.75,0.75,9.0, 0.0,1.0,1.0, 0.0,0.0,1.0,2.0
700693394,Al País de l'Olivera. Biotecnòloga la major part del temps. Nou repte de divulgació a @evidenTciencia,398, 723,17/07/2012,en, 0.55048,103,2359, 118.925,0.405,9.14815, 1.61,0.285,0.28, 0.68,0.12,1.1702,1.5873
700699693,,0, 0,17/07/2012,en, 0,0,2359, 12.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
700708922,,5, 15,17/07/2012,en, 0.33333,0,2359, 35.0,0.0,0, 0.5,0.0,0.0, 0.0,0.0,1.06904,2.0
700726178,,7, 55,17/07/2012,en, 0.12727,0,2359, 47.0,0.0,0, 0.0,0.5,0.5, 0.0,0.0,0.0,1.0
700745685,,3, 6,03/10/2013,en, 0.5,0,1916, 11.0,0.0,0, 1.0,0.0,0.0, 0.0,0.0,0.0,1.0
700757938,Singer songwriter and student,27, 238,03/10/2013,en, 0.11345,30,1916, 67.60811,0.17568,6.07692, 0.52703,0.09459,0.09459, 0.01351,0.0,1.57126,2.17647
700766071,Doctorant (PHD) Artiste plasticien depuis 35 ans,15, 0,17/07/2012,en, 0,48,2359, 82.15,0.0,0, 0.25,0.05,0.05, 0.0,0.0,0.92947,1.53846
700791359,,134, 95,04/10/2013,en, 1.41053,0,1915, 72.78788,0.43434,14.34884, 0.53535,0.48485,0.48485, 0.17677,0.0101,2.03758,2.22472
700800539,,1, 65,04/10/2013,en, 0.01538,0,1915, 57.5,0.0,0, 0.5,0.0,0.0, 0.0,0.0,0.0,1.0
700826124,Gamer from nz,4, 30,17/07/2012,en, 0.13333,13,2359, 90.5625,0.25,9.75, 1.125,0.25,0.25, 0.4375,0.125,0.57564,1.23077
700830955,Software Developer,410, 32,17/07/2012,en, 12.8125,18,2359, 110.35714,0.14286,10.0, 1.28571,0.07143,0.07143, 0.78571,0.0,0.61658,1.27273
700835773,FENERBAHCE Irmakherseyim,21, 23,17/07/2012,en, 0.91304,24,2359, 58.40306,0.01531,15.66667, 0.33163,0.0051,0.0051, 0.12755,0.0,2.06834,2.92537
700836170,,3, 10,17/07/2012,en, 0.3,0,2359, 35.0,0.5,7.0, 0.5,0.0,0.0, 0.5,0.0,0.0,2.0
700846004,,19, 45,17/07/2012,en, 0.42222,0,2359, 88.91667,0.41667,17.2, 0.41667,0.0,0.0, 0.08333,0.0,0.4,1.2
700861230,Een Rotterdams bedrijf met een nieuwe en transparante kijk op kantoorinrichting en de verkoop van kantoormeubelen. Een goede kwaliteit tegen de beste prijs!,11, 4,17/07/2012,en, 2.75,156,2359, 85.2,0.0,0, 0.2,1.0,1.0, 0.0,0.0,0.43301,1.25
700875445,,4, 47,17/07/2012,en, 0.08511,0,2359, 1.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
700892946,,0, 1,17/07/2012,en, 0.0,0,2359, 18.55556,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
700913624,iktisat idari bilimler fakültesi işletme .,11, 18,17/07/2012,en, 0.61111,42,2359, 83.52632,0.05263,14.0, 0.05263,0.0,0.0, 0.0,0.0,1.74964,2.71429
700913858,,7, 18,17/07/2012,en, 0.38889,0,2359, 29.5,0.0,0, 0.5,0.0,0.0, 0.0,0.0,0.0,2.0
700918201,,2, 1,17/07/2012,en, 2.0,0,2359, 44.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
700930382,,0, 0,17/07/2012,en, 0,0,2359, 18.0,0.0,0, 0.16667,0.0,0.0, 0.0,0.0,1.41421,2.0
700955186,,1, 20,17/07/2012,en, 0.05,0,2359, 16.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
700966411,,7, 8,17/07/2012,en, 0.875,0,2359, 18.4,0.0,0, 0.4,0.0,0.0, 0.0,0.0,0.5,2.5
700979646,Umorista,8, 11,17/07/2012,en, 0.72727,8,2359, 73.5,0.75,9.66667, 0.0,0.25,0.25, 0.0,0.0,0.4714,1.33333
701009755,i don't care what dey talk about,0, 0,17/07/2012,en, 0,32,2359, 20.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
701024051,,1, 2,04/10/2013,en, 0.5,0,1915, 13.33333,0.0,0, 0.66667,0.0,0.0, 0.0,0.0,0.0,1.0
701034259,,4, 4,17/07/2012,en, 1.0,0,2359, 34.5,0.0,0, 0.08333,0.0,0.0, 0.08333,0.0,0.57735,2.0
701039898,,1, 10,17/07/2012,en, 0.1,0,2359, 67.33333,0.0,0, 0.33333,0.66667,0.66667, 0.0,0.0,0.0,3.0
701046007,,0, 1,17/07/2012,en, 0.0,0,2359, 68.33333,0.0,0, 0.66667,0.33333,0.33333, 0.33333,0.33333,0.0,3.0
701056967,,4, 0,04/10/2013,en, 0,0,1915, 27.5,0.0,0, 1.5,0.0,0.0, 0.0,0.0,0.0,2.0
701060582,,0, 0,17/07/2012,en, 0,0,2359, 125.685,0.0,0, 0.0,1.0,1.0, 0.0,0.0,2.05146,3.7037
701062261,,0, 6,17/07/2012,en, 0.0,0,2359, 13.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
701086688,,54, 9,17/07/2012,en, 6.0,0,2359, 43.82353,0.0,0, 0.0,1.0,1.0, 0.0,0.0,0.0,1.0
701088883,cause it's irrelevant.,2, 15,17/07/2012,en, 0.13333,22,2359, 45.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,4.0
701109638,lookin 4 dat special sum 1,6, 92,17/07/2012,en, 0.06522,26,2359, 25.5,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,2.0
701145211,mom I am a rich man,609, 449,17/07/2012,en, 1.35635,20,2359, 61.8392,0.0201,12.25, 0.73869,0.19095,0.19095, 0.34673,0.01005,6.42069,9.04545
701151228,,30, 57,17/07/2012,en, 0.52632,0,2359, 104.185,0.0,0, 0.0,0.795,0.795, 0.0,0.0,1.70149,2.77778
701181775,,100, 817,17/07/2012,en, 0.1224,0,2359, 104.08718,0.22051,8.13953, 1.14872,0.06667,0.06667, 0.90256,0.0359,1.47656,1.57258
701211817,Comixininos is honored to have in his catalog the hottest Fantasy Football manufacturers: Meiko Willy Black Scorpion Rolljordan Shadowforge... Take a look!,133, 17,17/07/2012,en, 7.82353,159,2359, 82.0,0.07692,7.0, 0.0,0.69231,0.69231, 0.0,0.0,1.11102,1.625
701238164,i am good at making cakes and i have a dog called coco also i am good at swimming i like listening to music and dancing .,0, 5,17/07/2012,en, 0.0,122,2359, 63.0,0.0,0, 1.0,0.0,0.0, 0.0,0.0,0.0,1.0
701240455,,19, 308,17/07/2012,en, 0.06169,0,2359, 107.3,0.2,8.5, 1.0,0.0,0.0, 0.8,0.0,0.72843,1.42857
701253393,,4, 82,04/10/2013,en, 0.04878,0,1915, 71.0,0.16667,9.33333, 1.0,0.22222,0.22222, 0.66667,0.22222,0.23529,1.05882
701254866,,0, 1,17/07/2012,en, 0.0,0,2359, 23.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
701276551,,7, 2,17/07/2012,en, 3.5,0,2359, 40.28571,0.0,0, 0.0,1.0,1.0, 0.0,0.0,0.37268,1.16667
701281062,,2, 11,17/07/2012,en, 0.18182,0,2359, 55.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
701290237,,1, 1,17/07/2012,en, 1.0,0,2359, 34.66667,0.0,0, 0.66667,0.0,0.0, 0.0,0.0,0.5,1.5
701290337,,0, 3,04/10/2013,en, 0.0,0,1915, 13.25,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.4714,1.33333
701295439,Baxley Ridge located in Suwanee near the new Town Center is in prestigious Peachtree Ridge School District .,9, 13,17/07/2012,en, 0.69231,108,2359, 100.85714,0.0,0, 0.0,0.85714,0.85714, 0.0,0.0,0.0,1.0
701306268,‏السعودية,2, 0,17/07/2012,en, 0,9,2359, 86.75,0.125,10.0, 0.0,0.625,0.625, 0.0,0.0,0.4714,1.33333
701320196,,0, 14,17/07/2012,en, 0.0,0,2359, 16.75,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
701321810,,2, 30,17/07/2012,en, 0.06667,0,2359, 79.0,0.0,0, 1.0,1.0,1.0, 1.0,1.0,0.0,1.0
701342520,,0, 0,17/07/2012,en, 0,0,2359, 101.0,0.0,0, 4.0,1.0,1.0, 0.0,0.0,0.0,1.0
701363432,add me on skype liamryan1992 for some fun:),14, 0,17/07/2012,en, 0,43,2359, 39.16667,0.0,0, 0.83333,0.0,0.0, 0.0,0.0,0.0,6.0
701367582,,217, 195,17/07/2012,en, 1.11282,0,2359, 81.97326,0.03209,8.66667, 0.83422,0.13369,0.13369, 0.66845,0.06417,1.17832,1.54545
701374705,Im a money getting nigga at least that what im known for,97, 0,17/07/2012,en, 0,56,2359, 32.45238,0.0,0, 0.04762,0.0,0.0, 0.0,0.0,2.17945,3.5
701397624,#Apsunian #teamUCC Son of God. On Instagram : Pappy_george,29, 74,17/07/2012,en, 0.39189,60,2359, 81.8,1.0,9.2, 0.9,0.25,0.25, 0.35,0.05,1.48324,2.0
701405040,,190, 204,17/07/2012,en, 0.93137,0,2359, 77.30882,0.11765,11.25, 0.86765,0.03676,0.03676, 0.51471,0.02941,2.8204,2.95652
701407688,The worst thing that ever happened to me is losing my mother. $ Team Lebron Money Team Team CheeseHead. May 28 is my born day.,168, 176,17/07/2012,en, 0.95455,129,2359, 58.45876,0.08247,10.875, 0.31443,0.02062,0.02062, 0.22165,0.01031,6.7811,3.12903
701412935,ن صد لاترجيه خله ولاتسأل..أشرف بمتابعتكم لي,1, 0,04/10/2013,en, 0,43,1915, 80.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
701417818,طآلب بككليه آلملكك فيصل آلجويه ،آي خدمه ;$ PIN:28D09820 ☹ .,18, 36,04/10/2013,en, 0.5,59,1915, 99.94444,0.05556,6.0, 1.0,0.0,0.0, 0.5,0.0,2.87054,3.6
701418169,MANUSIA COKLAT TUA BUKAN MUDA,63, 105,17/07/2012,en, 0.6,29,2359, 62.31667,0.03333,7.5, 0.98333,0.03333,0.03333, 0.03333,0.01667,1.5748,2.4
701460680,,6, 98,17/07/2012,en, 0.06122,0,2359, 37.95455,0.04545,4.0, 0.40909,1.0,0.95455, 0.0,0.0,5.55778,7.33333
701478998,life is an an exam don't cheat,1, 25,17/07/2012,en, 0.04,30,2359, 78.86667,0.0,0, 0.0,0.0,0.0, 0.0,0.0,1.08972,3.75
701510394,,0, 0,17/07/2012,en, 0,0,2359, 20.0,0.0,0, 0.0,1.0,1.0, 0.0,0.0,0.0,1.0
701523715,Just a girl who enjoys long browses to YouTube channels.,24, 0,17/07/2012,en, 0,56,2359, 71.63889,0.15556,14.57143, 0.63889,0.02222,0.02222, 0.26111,0.01111,1.44609,1.78218
701526704,snapchat: guadaflorido,322, 330,17/07/2012,en, 0.97576,22,2359, 96.04891,0.04891,8.33333, 0.79891,0.16304,0.16304, 0.58152,0.04348,0.6875,1.31429
701535378,,0, 2,17/07/2012,en, 0.0,0,2359, 63.4,0.0,0, 2.6,0.0,0.0, 0.0,0.0,0.5,2.5
701535462,,39, 152,17/07/2012,en, 0.25658,0,2359, 100.04698,0.03356,7.4, 0.87919,0.0,0.0, 0.99329,0.0,1.8008,2.19118
701539386,‏حسبنا الله سيؤتينا الله من فضله انا الي الله راغبون,0, 0,17/07/2012,en, 0,52,2359, 77.0,0.0,0, 0.0,1.0,1.0, 0.0,0.0,0.0,1.0
701552636,الـعقل نعمہْ لو تشوف المہآبيلـ •• والغدر نآدر في زمآن الذيآبـہ,5, 0,17/07/2012,en, 0,62,2359, 128.6,0.79459,11.67347, 1.93514,0.05946,0.05946, 1.0,0.05946,4.24734,7.70833
701584446,Belieber | English | Personal account: @itsemilyharding,3, 0,17/07/2012,en, 0,55,2359, 27.0,0.0,0, 1.0,0.0,0.0, 0.0,0.0,0.0,1.0
701610894,,0, 0,17/07/2012,en, 0,0,2359, 91.8,1.0,11.4, 1.6,0.8,0.8, 1.0,0.8,0.0,5.0
701640888,,1, 9,17/07/2012,en, 0.11111,0,2359, 32.83333,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
1209211577683103747,sıradan biriyim ama ön sıradan,44, 99,23/12/2019,en, 0.44444,30,-356, 71.0203,0.0,0, 0.25381,0.26904,0.26904, 0.15228,0.0,5.01786,6.56667
701644640,,1, 1,17/07/2012,en, 1.0,0,2359, 40.92857,0.28571,11.25, 0.64286,0.28571,0.28571, 0.0,0.0,3.1241,2.8
935321791681220608,É o Inter não adianta!! 🍺🍺,3, 72,28/11/2017,en, 0.04167,26,399, 139.8,0.0,0, 1.4,0.0,0.0, 1.0,0.0,0.0,1.0
701665896,,0, 0,17/07/2012,en, 0,0,2359, 42.5,0.0,0, 0.83333,0.5,0.5, 0.0,0.0,0.8165,2.0
701671544,,1, 10,17/07/2012,en, 0.1,0,2359, 61.0,0.0,0, 2.0,0.0,0.0, 0.0,0.0,0.0,1.0
701674520,,0, 12,17/07/2012,en, 0.0,0,2359, 69.6,0.0,0, 0.6,0.6,0.6, 0.2,0.0,0.94281,1.66667
701685897,,1, 3,05/10/2013,en, 0.33333,0,1914, 120.0,1.75,8.07143, 1.25,0.25,0.25, 1.0,0.25,0.0,8.0
701694110,,1, 1,17/07/2012,en, 1.0,0,2359, 63.0,0.5,6.0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
701702209,,26, 61,17/07/2012,en, 0.42623,0,2359, 110.45802,0.12214,10.9375, 0.0229,0.98473,0.98473, 0.0,0.0,1.3734,1.48864
701797262,,1, 11,17/07/2012,en, 0.09091,0,2359, 26.0,0.0,0, 1.0,0.0,0.0, 0.0,0.0,0.0,1.0
701808434,,4, 28,17/07/2012,en, 0.14286,0,2359, 52.73913,0.17391,8.625, 0.34783,0.0,0.0, 0.23913,0.0,4.3229,5.75
701814386,,0, 1,17/07/2012,en, 0.0,0,2359, 6.0,0.0,0, 0.33333,0.0,0.0, 0.0,0.0,0.5,1.5
701818514,We help individuals and companies tell their stories in a manner that gets others to act. http://t.co/VjVcR8c5r8,446, 1061,17/07/2012,en, 0.42036,112,2359, 95.405,0.495,11.62626, 0.395,0.7,0.7, 0.145,0.09,0.73036,1.3986
701819174,,7, 971,17/07/2012,en, 0.00721,0,2359, 67.66667,0.0,0, 0.5,0.0,0.0, 0.33333,0.0,0.86603,1.5
701826288,شاعر وأشياء أخرى.,335, 175,17/07/2012,en, 1.91429,17,2359, 91.8538,0.26316,9.33333, 0.64912,0.08772,0.08772, 0.37427,0.02339,1.07354,1.51327
701843048,die hard texas tech fan loves basketball and golf follower of christ,129, 136,17/07/2012,en, 0.94853,70,2359, 75.41327,0.08673,10.29412, 1.25,0.04082,0.04082, 0.35204,0.0102,0.98561,1.67521
701865088,,107, 275,05/10/2013,en, 0.38909,0,1914, 102.27451,0.27451,8.14286, 1.54902,0.31373,0.31373, 0.21569,0.03922,0.42336,1.15909
701879485,Let Avail inc Virtual Assistant Agency take your calls and or do clerical work for you so you can focus on what's most important!,2, 17,17/07/2012,en, 0.11765,130,2359, 60.16667,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
701911333,,4, 0,17/07/2012,en, 0,0,2359, 40.0,0.0,0, 0.66667,0.33333,0.33333, 0.0,0.0,0.0,1.0
701914925,,0, 5,05/10/2013,en, 0.0,0,1914, 79.5,0.5,13.0, 1.0,0.5,0.5, 0.5,0.5,0.0,2.0
701915483,,0, 7,05/10/2013,en, 0.0,0,1914, 70.625,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.70711,2.0
701947621,@JustinBieber @SelenaGomez @JASMINEVILLEGAS and @CarlyRaeJepsen you are my idol the day that if only one of you follow me be the best day of my life 3,0, 33,17/07/2012,en, 0.0,151,2359, 81.42857,0.14286,11.0, 0.85714,0.0,0.0, 0.14286,0.0,0.0,7.0
701972988,,26, 85,17/07/2012,en, 0.30588,0,2359, 57.61818,0.09091,11.4, 0.52727,0.01818,0.01818, 0.10909,0.01818,0.82727,1.375
701977844,#lajuntadasfa,26, 368,17/07/2012,en, 0.07065,13,2359, 95.31395,0.26744,11.82609, 0.37209,0.10465,0.10465, 0.03488,0.0,0.9551,1.43333
701995736,,3, 9,17/07/2012,en, 0.33333,0,2359, 52.0,0.0,0, 0.75,0.5,0.5, 0.25,0.25,1.0,2.0
701996001,,0, 20,05/10/2013,en, 0.0,0,1914, 74.0,0.0,0, 0.33333,0.33333,0.33333, 0.0,0.0,0.5,1.5
702006051,,22, 138,05/10/2013,en, 0.15942,0,1914, 66.0,0.45455,10.4, 0.63636,0.18182,0.18182, 0.18182,0.09091,0.41574,1.22222
702016158,,2, 12,18/07/2012,en, 0.16667,0,2358, 37.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
702027762,,0, 0,18/07/2012,en, 0,0,2358, 25.16667,0.0,0, 0.0,0.0,0.0, 0.0,0.0,2.0,3.0
702070578,(1994-...) soy una persona extrangera y vivo en una pecera fin,621, 17,18/07/2012,en, 36.52941,64,2358, 47.41,0.005,4.0, 0.17,0.0,0.0, 0.1,0.0,2.28473,2.8169
702075636,Picture pimping aint't easy!,1, 16,18/07/2012,en, 0.0625,28,2358, 106.4,1.0,10.8, 1.6,0.2,0.2, 0.6,0.2,1.5,2.5
702089125,,0, 0,18/07/2012,en, 0,0,2358, 66.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
702105446,Trusted Onlineshop // Adorable Prices // Booked/order = No Cancel. Cancel = BLACKLIST // Order: +6281905601314 (SMS) or Mention us.☺ Thanks. Happy Shopping.☺♥,49, 9,18/07/2012,en, 5.44444,158,2358, 93.82584,0.0,0, 0.59551,0.44382,0.44382, 0.0,0.0,9.0824,8.9
702107808,Dunia in indah bila d jalani dengan hat yg sabar...,472, 716,18/07/2012,en, 0.65922,51,2358, 74.02817,0.09155,8.38462, 0.8169,0.55634,0.55634, 0.0,0.0,1.04122,1.44898
702111325,,10, 63,18/07/2012,en, 0.15873,0,2358, 51.82609,0.0,0, 0.04348,0.47826,0.47826, 0.0,0.0,4.20565,5.75
702121927,,0, 6,18/07/2012,en, 0.0,0,2358, 19.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
702126087,follow me on insta @annadhmn,27, 27,05/10/2013,en, 1.0,28,1914, 59.67308,0.76923,10.625, 0.71154,0.17308,0.17308, 0.13462,0.01923,1.52607,1.73333
702150933,,24, 102,05/10/2013,en, 0.23529,0,1914, 25.0,0.0,0, 0.66667,0.0,0.0, 0.0,0.0,0.0,1.0
702159450,Liberal embryologist Deadhead Phish-head I really like potatoes.,8, 118,18/07/2012,en, 0.0678,64,2358, 94.0,0.15584,8.20833, 1.17532,0.11688,0.11688, 0.38961,0.04545,1.52301,1.62105
